Experiment,Subject,N_test,Accuracy,F1_macro
RF_EDA-only,1,15,0.4666666666666667,0.2222222222222222
RF_EDA-only,2,14,0.42857142857142855,0.3076923076923077
RF_EDA-only,3,14,0.5,0.3333333333333333
RF_EDA-only,4,12,0.5833333333333334,0.3686274509803922
RF_EDA-only,5,10,0.4,0.19047619047619047
RF_EDA-only,6,11,0.2727272727272727,0.21645021645021645
RF_EDA-only,7,12,0.5,0.2222222222222222
RF_Combined,1,15,0.4666666666666667,0.2222222222222222
RF_Combined,2,14,0.2857142857142857,0.17777777777777778
RF_Combined,3,14,0.5,0.3333333333333333
RF_Combined,4,12,0.4166666666666667,0.19607843137254902
RF_Combined,5,10,0.5,0.2222222222222222
RF_Combined,6,11,0.45454545454545453,0.30158730158730157
RF_Combined,7,12,0.5,0.2222222222222222
RF_PPG-only,1,1,1.0,1.0
RF_PPG-only,2,6,0.5,0.2222222222222222
RF_PPG-only,3,3,0.6666666666666666,0.4
RF_PPG-only,4,10,0.6,0.5714285714285715
RF_PPG-only,5,6,0.5,0.3333333333333333
RF_PPG-only,6,8,0.5,0.4666666666666667
RF_PPG-only,7,5,0.6,0.5555555555555555
SVM_EDA-only,1,15,0.4,0.27807486631016043
SVM_EDA-only,2,14,0.21428571428571427,0.13333333333333333
SVM_EDA-only,3,14,0.35714285714285715,0.3
SVM_EDA-only,4,12,0.08333333333333333,0.05128205128205129
SVM_EDA-only,5,10,0.3,0.48148148148148145
SVM_EDA-only,6,11,0.2727272727272727,0.20454545454545456
SVM_EDA-only,7,12,0.08333333333333333,0.06666666666666667
SVM_Combined,1,15,0.2,0.20555555555555557
SVM_Combined,2,14,0.21428571428571427,0.1717171717171717
SVM_Combined,3,14,0.42857142857142855,0.3384615384615384
SVM_Combined,4,12,0.3333333333333333,0.22792022792022792
SVM_Combined,5,10,0.5,0.6103896103896104
SVM_Combined,6,11,0.36363636363636365,0.2490842490842491
SVM_Combined,7,12,0.16666666666666666,0.1693121693121693
SVM_PPG-only,1,1,0.0,0.0
SVM_PPG-only,2,6,0.3333333333333333,0.25
SVM_PPG-only,3,3,0.0,0.0
SVM_PPG-only,4,10,0.5,0.2222222222222222
SVM_PPG-only,5,6,0.5,0.3333333333333333
SVM_PPG-only,6,8,0.5,0.4666666666666667
SVM_PPG-only,7,5,0.4,0.19047619047619047
