rec_id,label,EDA,PPG
003-easy,,21,386
003-easy,,321,386
003-easy,,323,386
003-easy,,322,386
003-easy,,322,386
003-easy,,321,386
003-easy,,323,387
003-easy,,324,386
003-easy,,323,387
003-easy,,323,385
003-easy,,323,385
003-easy,,322,387
003-easy,,323,387
003-easy,,323,386
003-easy,,323,386
003-easy,,324,386
003-easy,,322,387
003-easy,,323,387
003-easy,,322,387
003-easy,,323,387
003-easy,,322,386
003-easy,,322,386
003-easy,,321,387
003-easy,,321,386
003-easy,,320,386
003-easy,,319,386
003-easy,,319,386
003-easy,,318,387
003-easy,,318,386
003-easy,,317,386
003-easy,,316,387
003-easy,,314,386
003-easy,,313,386
003-easy,,311,387
003-easy,,310,386
003-easy,,309,386
003-easy,,308,387
003-easy,,306,386
003-easy,,305,386
003-easy,,305,386
003-easy,,304,387
003-easy,,304,386
003-easy,,303,387
003-easy,,302,387
003-easy,,302,387
003-easy,,303,385
003-easy,,302,386
003-easy,,301,387
003-easy,,301,387
003-easy,,300,387
003-easy,,301,385
003-easy,,301,386
003-easy,,300,387
003-easy,,300,386
003-easy,,300,387
003-easy,,300,386
003-easy,,300,386
003-easy,,300,387
003-easy,,299,386
003-easy,,300,387
003-easy,,300,386
003-easy,,300,387
003-easy,,301,386
003-easy,,300,386
003-easy,,300,387
003-easy,,299,387
003-easy,,300,386
003-easy,,300,387
003-easy,,299,387
003-easy,,299,386
003-easy,,299,386
003-easy,,299,386
003-easy,,298,386
003-easy,,299,387
003-easy,,299,387
003-easy,,298,386
003-easy,,298,386
003-easy,,298,387
003-easy,,299,387
003-easy,,298,386
003-easy,,298,386
003-easy,,299,387
003-easy,,300,386
003-easy,,301,386
003-easy,,301,385
003-easy,,302,386
003-easy,,302,386
003-easy,,302,386
003-easy,,303,387
003-easy,,305,387
003-easy,,307,386
003-easy,,308,387
003-easy,,310,387
003-easy,,312,387
003-easy,,314,386
003-easy,,316,387
003-easy,,319,387
003-easy,,323,386
003-easy,,326,387
003-easy,,329,387
003-easy,,332,386
003-easy,,336,387
003-easy,,339,387
003-easy,,342,387
003-easy,,346,386
003-easy,,348,386
003-easy,,351,387
003-easy,,355,387
003-easy,,358,386
003-easy,,360,387
003-easy,,362,387
003-easy,,365,387
003-easy,,366,387
003-easy,,368,387
003-easy,,369,386
003-easy,,370,388
003-easy,,371,388
003-easy,,372,387
003-easy,,373,387
003-easy,,373,388
003-easy,,372,388
003-easy,,373,387
003-easy,,373,387
003-easy,,372,388
003-easy,,372,387
003-easy,,370,388
003-easy,,371,388
003-easy,,369,387
003-easy,,369,387
003-easy,,366,387
003-easy,,366,388
003-easy,,364,388
003-easy,,362,388
003-easy,,362,388
003-easy,,360,387
003-easy,,358,388
003-easy,,356,387
003-easy,,353,387
003-easy,,352,388
003-easy,,350,388
003-easy,,348,388
003-easy,,345,388
003-easy,,344,387
003-easy,,342,388
003-easy,,340,388
003-easy,,337,388
003-easy,,335,388
003-easy,,333,387
003-easy,,332,387
003-easy,,329,388
003-easy,,327,387
003-easy,,325,388
003-easy,,323,386
003-easy,,321,387
003-easy,,320,387
003-easy,,318,388
003-easy,,317,388
003-easy,,315,387
003-easy,,315,387
003-easy,,313,387
003-easy,,312,387
003-easy,,311,387
003-easy,,309,387
003-easy,,310,387
003-easy,,309,387
003-easy,,308,387
003-easy,,307,388
003-easy,,307,387
003-easy,,307,388
003-easy,,306,387
003-easy,,305,387
003-easy,,305,388
003-easy,,306,387
003-easy,,305,387
003-easy,,307,386
003-easy,,305,388
003-easy,,305,387
003-easy,,305,388
003-easy,,307,388
003-easy,,308,388
003-easy,,307,388
003-easy,,309,388
003-easy,,309,387
003-easy,,309,386
003-easy,,310,387
003-easy,,310,386
003-easy,,309,387
003-easy,,309,387
003-easy,,309,387
003-easy,,308,387
003-easy,,309,386
003-easy,,309,386
003-easy,,309,387
003-easy,,309,387
003-easy,,309,388
003-easy,,309,387
003-easy,,309,388
003-easy,,309,387
003-easy,,309,386
003-easy,,310,388
003-easy,,310,387
003-easy,,310,387
003-easy,,310,387
003-easy,,311,387
003-easy,,311,386
003-easy,,312,387
003-easy,,310,387
003-easy,,311,388
003-easy,,309,386
003-easy,,309,386
003-easy,,310,387
003-easy,,309,386
003-easy,,309,387
003-easy,,309,387
003-easy,,308,387
003-easy,,308,387
003-easy,,307,387
003-easy,,307,386
003-easy,,307,387
003-easy,,306,386
003-easy,,306,386
003-easy,,305,387
003-easy,,304,387
003-easy,,302,386
003-easy,,302,387
003-easy,,303,387
003-easy,,301,386
003-easy,,300,387
003-easy,,300,385
003-easy,,300,386
003-easy,,299,386
003-easy,,300,386
003-easy,,298,386
003-easy,,298,386
003-easy,,298,386
003-easy,,298,385
003-easy,,297,387
003-easy,,298,386
003-easy,,296,387
003-easy,,296,387
003-easy,,297,385
003-easy,,297,386
003-easy,,297,385
003-easy,,296,387
003-easy,,296,387
003-easy,,295,387
003-easy,,295,385
003-easy,,296,387
