rec_id,label,EDA,PPG
005-hard,,335,410
005-hard,,335,412
005-hard,,333,414
005-hard,,331,412
005-hard,,333,410
005-hard,,332,408
005-hard,,331,413
005-hard,,330,413
005-hard,,328,411
005-hard,,330,410
005-hard,,328,410
005-hard,,330,413
005-hard,,329,414
005-hard,,330,410
005-hard,,329,410
005-hard,,330,410
005-hard,,330,414
005-hard,,331,414
005-hard,,330,411
005-hard,,331,411
005-hard,,331,410
005-hard,,333,414
005-hard,,332,414
005-hard,,333,411
005-hard,,333,410
005-hard,,334,411
005-hard,,335,415
005-hard,,335,414
005-hard,,335,410
005-hard,,336,410
005-hard,,337,411
005-hard,,336,415
005-hard,,338,413
005-hard,,337,411
005-hard,,339,409
005-hard,,339,411
005-hard,,341,415
005-hard,,340,413
005-hard,,341,411
005-hard,,340,411
005-hard,,341,413
005-hard,,342,414
005-hard,,342,413
005-hard,,342,411
005-hard,,342,410
005-hard,,341,412
005-hard,,341,415
005-hard,,340,412
005-hard,,340,411
005-hard,,339,410
005-hard,,338,413
005-hard,,338,415
005-hard,,336,412
005-hard,,336,410
005-hard,,335,410
005-hard,,334,414
005-hard,,333,415
005-hard,,333,411
005-hard,,331,409
005-hard,,330,411
005-hard,,330,414
005-hard,,330,414
005-hard,,328,410
005-hard,,326,410
005-hard,,326,411
005-hard,,325,414
005-hard,,324,414
005-hard,,322,411
005-hard,,320,411
005-hard,,319,411
005-hard,,318,414
005-hard,,315,413
005-hard,,315,411
005-hard,,315,411
005-hard,,312,411
005-hard,,311,414
005-hard,,311,412
005-hard,,309,410
005-hard,,308,410
005-hard,,307,412
005-hard,,307,414
005-hard,,306,412
005-hard,,306,411
005-hard,,305,410
005-hard,,305,412
005-hard,,304,415
005-hard,,303,412
005-hard,,304,411
005-hard,,304,411
005-hard,,302,413
005-hard,,303,414
005-hard,,303,411
005-hard,,303,411
005-hard,,302,410
005-hard,,303,412
005-hard,,302,414
005-hard,,302,411
005-hard,,304,410
005-hard,,303,411
005-hard,,303,412
005-hard,,304,414
005-hard,,305,411
005-hard,,306,410
005-hard,,306,409
005-hard,,306,413
005-hard,,307,412
005-hard,,308,410
005-hard,,311,409
005-hard,,310,410
005-hard,,313,413
005-hard,,313,412
005-hard,,316,409
005-hard,,319,408
005-hard,,321,409
005-hard,,323,412
005-hard,,326,411
005-hard,,328,409
005-hard,,331,409
005-hard,,333,409
005-hard,,335,413
005-hard,,339,411
005-hard,,341,409
005-hard,,345,407
005-hard,,348,410
005-hard,,351,411
005-hard,,353,411
005-hard,,356,407
005-hard,,359,408
005-hard,,363,410
005-hard,,364,412
005-hard,,367,410
005-hard,,369,407
005-hard,,371,409
005-hard,,374,410
005-hard,,375,412
005-hard,,376,409
005-hard,,376,408
005-hard,,378,409
005-hard,,379,409
005-hard,,379,413
005-hard,,378,408
005-hard,,378,408
005-hard,,378,408
005-hard,,377,411
005-hard,,376,411
005-hard,,374,409
005-hard,,373,407
005-hard,,372,408
005-hard,,372,411
005-hard,,370,411
005-hard,,369,407
005-hard,,367,408
005-hard,,366,408
005-hard,,365,411
005-hard,,363,411
005-hard,,361,408
005-hard,,359,407
005-hard,,358,408
005-hard,,355,411
005-hard,,354,410
005-hard,,352,408
005-hard,,350,407
005-hard,,348,408
005-hard,,347,411
005-hard,,345,410
005-hard,,343,408
005-hard,,342,406
005-hard,,341,408
005-hard,,341,410
005-hard,,337,410
005-hard,,337,407
005-hard,,335,407
005-hard,,335,408
005-hard,,334,411
005-hard,,332,409
005-hard,,331,406
005-hard,,330,407
005-hard,,330,408
005-hard,,329,411
005-hard,,330,408
005-hard,,328,408
005-hard,,329,407
005-hard,,327,409
005-hard,,328,411
005-hard,,328,408
005-hard,,327,407
005-hard,,327,407
005-hard,,327,410
005-hard,,328,411
005-hard,,328,408
005-hard,,328,407
005-hard,,327,406
005-hard,,328,410
005-hard,,329,410
005-hard,,329,408
005-hard,,330,406
005-hard,,328,407
005-hard,,330,408
005-hard,,329,410
005-hard,,330,407
005-hard,,330,407
005-hard,,330,407
005-hard,,331,410
005-hard,,331,408
005-hard,,332,407
005-hard,,330,408
005-hard,,331,407
005-hard,,331,409
005-hard,,331,409
005-hard,,330,407
005-hard,,330,407
005-hard,,330,408
005-hard,,330,410
005-hard,,329,409
005-hard,,328,408
005-hard,,327,407
005-hard,,327,409
005-hard,,327,411
005-hard,,326,408
005-hard,,324,407
005-hard,,325,407
005-hard,,325,408
005-hard,,325,410
005-hard,,324,407
005-hard,,323,407
005-hard,,324,407
005-hard,,322,409
005-hard,,322,411
005-hard,,321,407
005-hard,,320,407
005-hard,,319,407
005-hard,,318,409
005-hard,,318,410
005-hard,,317,407
005-hard,,315,407
005-hard,,315,407
005-hard,,315,410
005-hard,,314,410
005-hard,,312,408
005-hard,,312,407
005-hard,,312,406
005-hard,,313,409
005-hard,,312,410
005-hard,,311,407
005-hard,,313,407
005-hard,,313,406
005-hard,,313,410
005-hard,,312,410
005-hard,,313,408
005-hard,,313,407
005-hard,,313,407
005-hard,,312,410
005-hard,,312,410
005-hard,,314,407
005-hard,,315,407
005-hard,,314,407
005-hard,,314,411
005-hard,,315,409
005-hard,,317,407
005-hard,,317,406
005-hard,,317,408
005-hard,,318,411
005-hard,,319,408
005-hard,,319,406
005-hard,,318,407
005-hard,,320,409
005-hard,,320,411
005-hard,,320,408
005-hard,,319,407
005-hard,,319,407
005-hard,,320,409
005-hard,,319,411
005-hard,,321,408
005-hard,,321,407
005-hard,,323,407
005-hard,,325,409
005-hard,,328,411
005-hard,,329,407
005-hard,,331,407
005-hard,,334,407
005-hard,,337,410
005-hard,,340,410
005-hard,,341,408
005-hard,,345,406
005-hard,,348,406
005-hard,,351,410
005-hard,,355,409
005-hard,,356,408
005-hard,,360,407
005-hard,,363,407
005-hard,,367,410
005-hard,,367,411
005-hard,,371,408
005-hard,,373,407
005-hard,,375,407
005-hard,,377,411
005-hard,,377,410
005-hard,,379,407
005-hard,,379,407
005-hard,,381,407
005-hard,,381,411
005-hard,,382,409
005-hard,,379,408
005-hard,,380,407
005-hard,,378,408
005-hard,,378,411
005-hard,,377,409
005-hard,,375,408
005-hard,,375,408
005-hard,,373,409
005-hard,,371,411
005-hard,,370,409
005-hard,,368,407
005-hard,,366,407
005-hard,,365,410
005-hard,,363,411
005-hard,,360,408
005-hard,,358,408
005-hard,,356,408
005-hard,,355,409
005-hard,,353,411
005-hard,,350,409
005-hard,,349,407
005-hard,,348,407
005-hard,,346,410
005-hard,,344,411
005-hard,,342,408
005-hard,,342,407
005-hard,,339,406
005-hard,,337,411
005-hard,,336,411
005-hard,,336,408
005-hard,,335,406
005-hard,,332,408
005-hard,,333,411
005-hard,,331,410
005-hard,,330,408
005-hard,,329,408
005-hard,,329,408
005-hard,,328,412
005-hard,,327,410
005-hard,,327,408
005-hard,,326,407
005-hard,,327,408
005-hard,,326,410
005-hard,,326,410
005-hard,,327,408
005-hard,,327,406
005-hard,,325,409
005-hard,,327,411
005-hard,,327,408
005-hard,,326,408
005-hard,,327,407
005-hard,,328,407
005-hard,,328,411
005-hard,,330,408
005-hard,,329,407
005-hard,,330,405
005-hard,,330,409
005-hard,,332,410
005-hard,,331,408
005-hard,,332,406
005-hard,,330,406
005-hard,,333,407
005-hard,,332,409
005-hard,,334,406
005-hard,,332,405
005-hard,,334,404
005-hard,,333,406
005-hard,,335,408
005-hard,,336,404
005-hard,,335,403
005-hard,,335,402
005-hard,,336,406
005-hard,,335,404
005-hard,,335,402
005-hard,,335,400
005-hard,,333,401
005-hard,,334,404
005-hard,,331,404
005-hard,,333,400
005-hard,,330,400
005-hard,,330,399
005-hard,,328,403
005-hard,,326,401
005-hard,,326,398
005-hard,,324,398
005-hard,,323,398
005-hard,,322,401
005-hard,,320,399
005-hard,,319,397
005-hard,,318,396
005-hard,,317,396
005-hard,,314,399
005-hard,,314,396
005-hard,,314,394
005-hard,,313,394
005-hard,,311,395
005-hard,,311,398
005-hard,,309,395
005-hard,,309,393
005-hard,,309,392
005-hard,,309,395
005-hard,,309,396
005-hard,,309,393
005-hard,,309,392
005-hard,,309,391
005-hard,,311,393
005-hard,,311,396
005-hard,,311,392
005-hard,,312,391
005-hard,,315,389
005-hard,,315,394
005-hard,,315,394
005-hard,,317,390
005-hard,,317,388
005-hard,,318,389
005-hard,,319,392
005-hard,,320,393
005-hard,,320,389
005-hard,,321,389
005-hard,,322,388
005-hard,,322,393
005-hard,,322,391
005-hard,,322,389
005-hard,,323,386
005-hard,,323,388
005-hard,,324,392
005-hard,,322,392
005-hard,,323,387
005-hard,,323,387
005-hard,,324,388
005-hard,,322,392
005-hard,,323,390
005-hard,,321,387
005-hard,,323,386
005-hard,,323,388
005-hard,,324,391
005-hard,,324,388
005-hard,,325,387
005-hard,,326,386
005-hard,,327,388
005-hard,,330,390
005-hard,,330,388
005-hard,,333,385
005-hard,,335,386
005-hard,,339,388
005-hard,,342,390
005-hard,,344,387
005-hard,,347,386
