rec_id,label,EDA,PPG
002-hard,,403,336
002-hard,,411,334
002-hard,,419,336
002-hard,,426,336
002-hard,,433,336
002-hard,,440,336
002-hard,,446,336
002-hard,,451,336
002-hard,,456,336
002-hard,,459,337
002-hard,,463,336
002-hard,,466,337
002-hard,,467,336
002-hard,,468,337
002-hard,,468,336
002-hard,,467,338
002-hard,,467,338
002-hard,,464,338
002-hard,,462,338
002-hard,,460,338
002-hard,,457,337
002-hard,,453,339
002-hard,,450,338
002-hard,,446,338
002-hard,,442,339
002-hard,,439,339
002-hard,,435,338
002-hard,,430,339
002-hard,,426,339
002-hard,,423,338
002-hard,,420,338
002-hard,,417,339
002-hard,,416,338
002-hard,,413,339
002-hard,,410,339
002-hard,,409,338
002-hard,,406,338
002-hard,,404,339
002-hard,,403,338
002-hard,,400,339
002-hard,,399,339
002-hard,,398,338
002-hard,,394,339
002-hard,,392,339
002-hard,,390,337
002-hard,,387,338
002-hard,,386,339
002-hard,,384,337
002-hard,,382,338
002-hard,,379,338
002-hard,,378,337
002-hard,,373,339
002-hard,,372,338
002-hard,,369,337
002-hard,,366,338
002-hard,,364,336
002-hard,,362,337
002-hard,,358,338
002-hard,,357,337
002-hard,,354,338
002-hard,,352,338
002-hard,,352,337
002-hard,,349,337
002-hard,,348,338
002-hard,,348,337
002-hard,,347,336
002-hard,,346,338
002-hard,,347,336
002-hard,,345,336
002-hard,,344,337
002-hard,,346,337
002-hard,,345,337
002-hard,,346,338
002-hard,,347,336
002-hard,,348,337
002-hard,,348,336
002-hard,,349,336
002-hard,,350,336
002-hard,,352,337
002-hard,,351,337
002-hard,,352,336
002-hard,,352,337
002-hard,,353,336
002-hard,,353,337
002-hard,,353,336
002-hard,,353,336
002-hard,,352,336
002-hard,,351,337
002-hard,,351,336
002-hard,,351,336
002-hard,,348,337
002-hard,,348,336
002-hard,,346,336
002-hard,,345,335
002-hard,,344,336
002-hard,,342,336
002-hard,,340,336
002-hard,,338,336
002-hard,,338,336
002-hard,,336,336
002-hard,,335,335
002-hard,,332,336
002-hard,,332,335
002-hard,,331,336
002-hard,,329,335
002-hard,,327,336
002-hard,,327,336
002-hard,,326,334
002-hard,,325,335
002-hard,,325,335
002-hard,,323,335
002-hard,,321,336
002-hard,,322,334
002-hard,,320,335
002-hard,,319,336
002-hard,,319,335
002-hard,,319,335
002-hard,,318,336
002-hard,,319,335
002-hard,,318,335
002-hard,,318,336
002-hard,,318,335
002-hard,,318,334
002-hard,,318,336
002-hard,,319,335
002-hard,,319,334
002-hard,,318,335
002-hard,,319,335
002-hard,,319,334
002-hard,,319,336
002-hard,,319,335
002-hard,,319,334
002-hard,,317,336
002-hard,,318,335
002-hard,,317,334
002-hard,,315,335
002-hard,,315,335
002-hard,,313,335
002-hard,,313,335
002-hard,,314,334
002-hard,,313,335
002-hard,,312,335
002-hard,,313,335
002-hard,,312,335
002-hard,,312,334
002-hard,,310,335
002-hard,,311,335
002-hard,,311,335
002-hard,,309,335
002-hard,,311,335
002-hard,,309,334
002-hard,,309,335
002-hard,,310,335
002-hard,,309,335
002-hard,,309,335
002-hard,,308,335
002-hard,,309,334
002-hard,,309,336
002-hard,,309,335
002-hard,,308,335
002-hard,,308,334
002-hard,,308,335
002-hard,,309,334
002-hard,,308,335
002-hard,,309,334
002-hard,,308,336
002-hard,,308,334
002-hard,,308,336
002-hard,,310,335
002-hard,,309,336
002-hard,,309,334
002-hard,,309,335
002-hard,,310,335
002-hard,,309,335
002-hard,,310,335
002-hard,,309,336
002-hard,,310,334
002-hard,,309,335
002-hard,,311,335
002-hard,,310,335
002-hard,,311,335
002-hard,,311,335
002-hard,,310,336
002-hard,,312,335
002-hard,,312,336
002-hard,,311,335
002-hard,,311,335
002-hard,,310,334
002-hard,,311,335
002-hard,,312,335
002-hard,,311,336
002-hard,,312,335
002-hard,,312,335
002-hard,,313,334
002-hard,,314,336
002-hard,,316,335
002-hard,,318,335
002-hard,,321,334
002-hard,,325,336
002-hard,,331,335
002-hard,,336,336
002-hard,,343,334
002-hard,,348,335
002-hard,,356,334
002-hard,,362,336
002-hard,,371,335
002-hard,,378,336
002-hard,,386,335
002-hard,,394,336
